date,cap
7/31/2018,66096.1
8/1/2018,66103.4
8/2/2018,66107.6
8/3/2018,65976.7
8/4/2018,66076.9
8/5/2018,65988.2
8/6/2018,66086.4
8/7/2018,66086.5
8/8/2018,66109
8/9/2018,66087
8/10/2018,66087.1
8/11/2018,66107.2
8/12/2018,66097.3
8/13/2018,66056.6
8/14/2018,65995.3
8/15/2018,66032.5
8/16/2018,65972.5
8/17/2018,65773.2
8/18/2018,65882.7
8/19/2018,65906
8/20/2018,65893
8/21/2018,65898.3
8/22/2018,65872.3
8/23/2018,65859.3
8/24/2018,65669.9
8/25/2018,65697.8
8/26/2018,65778.3
8/27/2018,65819.1
8/28/2018,65728
8/29/2018,65767.7
8/30/2018,65788
8/31/2018,65790.2
9/1/2018,65777.1
9/2/2018,65766
9/3/2018,65727
9/4/2018,65777.2
9/5/2018,65798.4
9/6/2018,65798
9/7/2018,65737.2
9/8/2018,65717.7
9/9/2018,65725.4
9/10/2018,65674.8
9/11/2018,65673.9
9/12/2018,65672.8
9/13/2018,65632.5
9/14/2018,65602.9
9/15/2018,65627.2
9/16/2018,65669.8
9/17/2018,65726.8
9/18/2018,65764.8
9/19/2018,65816.6
9/20/2018,65833.8
9/21/2018,65883
9/22/2018,65833.9
9/23/2018,65851.2
9/24/2018,65804.3
9/25/2018,65813.8
9/26/2018,65870.6
9/27/2018,65867.7
9/28/2018,65877.2
9/29/2018,65847.3
9/30/2018,65834.9
10/1/2018,65835.8
10/2/2018,65843.6
10/3/2018,65822.7
10/4/2018,65833.7
10/5/2018,65823.9
10/6/2018,65826.9
10/7/2018,65818.1
10/8/2018,65808.5
10/9/2018,65838.2
10/10/2018,65800.6
10/11/2018,65789.9
10/12/2018,65773.3
10/13/2018,65772.7
10/14/2018,65772.6
10/15/2018,65754.5
10/16/2018,65721.7
10/17/2018,65733.5
10/18/2018,65758.4
10/19/2018,65738.4
10/20/2018,65778.6
10/21/2018,65747
10/22/2018,65714.5
10/23/2018,65703.2
10/24/2018,65696.4
10/25/2018,65683.3
10/26/2018,65686.4
10/27/2018,65642.9
10/28/2018,65626.9
10/29/2018,65697
10/30/2018,65689.6
10/31/2018,65677.2
11/1/2018,65707.9
11/2/2018,65718.6
11/3/2018,65728.1
11/4/2018,65700.6
11/5/2018,65657.5
11/6/2018,65678.2
11/7/2018,65616.3
11/8/2018,65617.6
11/9/2018,65606.6
11/10/2018,65587.4
11/11/2018,65587.2
11/12/2018,65627.8
11/13/2018,65624.6
11/14/2018,65584.8
11/15/2018,65597.2
11/16/2018,65597.4
11/17/2018,65598.2
11/18/2018,65554.9
11/19/2018,65555.3
11/20/2018,65546.6
11/21/2018,65546.1
11/22/2018,65516.5
11/23/2018,65534.4
11/24/2018,65504.7
11/25/2018,65463.1
11/26/2018,65474.3
11/27/2018,65495.3
11/28/2018,65476.8
